Gene1	Gene2	EdgeWeight
ALAS1	CD52	8.173430016665016
RPL3P4	CTSG	8.136556025986026
GPT2	SDF2L1	8.11460070267216
SYVN1	CALR	8.098160610260223
CSF3R	MAN2B2	8.095460199531734
OARD1	AC245014.3	8.092948670460911
SLC22A15	CXorf21	8.077990757321295
CALR	MYC	8.032042845939731
MPO	CFD	8.019726438225032
PSD4	IGHM	8.016239008833141
CCDC137	MAN2B2	8.004804055427348
VAT1	AZU1	7.971303015006231
HSPA5	CRELD2	7.963078418860952
CABIN1	ALAS1	7.9457791843202665
TPM3	AKR1B1	7.938853403630705
MFAP4	PRG2	7.883637935487315
GM2A	GRN	7.872842821183426
MS4A3	APLP2	7.85019897304347
FTL	FP671120.5	7.845092986489752
AC104232.1	PRG2	7.8274480437797775
MPO	HSPA5	7.744712385937339
MED21	KIT	7.735992338777597
SMC4	HMGB2	7.735576968646318
ZBTB16	SERPINB1	7.732165470483912
SESN3	MS4A3	7.712580397390402
SKIV2L	RNVU1-15	7.6407344208726595
LRRCC1	DNAJB9	7.640425565167106
AZU1	LSP1	7.614595236748053
FAM107B	IL5RA	7.599388024317743
HSP90B1	CANX	7.598701074448101
SDF2L1	CALR	7.58871533228104
ZBTB16	HMGB2	7.580733777857117
ZSCAN31	AC109326.1	7.574638137533013
SRGN	LYZ	7.558777112274551
SERPINB10	PRTN3	7.552361737132382
KAT6B	CTSG	7.542548025474352
WDR77	CHID1	7.535646028263459
MPO	TSPOAP1	7.51624942018051
ZBTB16	MPO	7.5004488093713055
JAM3	SDF2L1	7.499553036607969
CD52	TRBV12-3	7.496588743409977
KAT7	DNAJB9	7.494647212465415
MPO	CALR	7.487749699496034
JKAMP	HGF	7.471982847840994
RPL3P4	TPM3	7.464463911636047
CSF1R	LYZ	7.463379292829254
LAMC1	MAPKAPK3	7.460696793167933
B3GALT6	AC245014.3	7.450233311997807
CEP120	SLC26A2	7.43115638003186
CSF1R	CFD	7.393468948584617
GPAA1	AC109326.1	7.391788313012938
JOSD1	CST3	7.363617390040215
PRRT4	CPVL	7.362403387960135
RNASE2	MPO	7.356194364764278
COX19	CD52	7.3405672207918276
FAM122B	HSPA5	7.338254100607232
PRDX4	AKR1B1	7.321577170319737
MS4A3	CANX	7.31449538704236
FURIN	CALR	7.289207478593411
IGFBP2	CHID1	7.2748171658634035
DUSP27	CSF1R	7.274618609486782
EIF3E	GPI	7.229144901519287
ARHGEF39	HMGB2	7.15615500464962
SNHG29	JUND	7.1502304508709695
PIK3CB	MS4A3	7.138881985317303
DUSP2	JUND	7.1276203617521166
NCAPH	HMGB2	7.1232230271355474
FP671120.5	CTSG	7.115482637560018
CST7	RPL3P4	7.110412604281367
HGF	APLP2	7.088641376281839
ITGAL	KCNE5	7.057038259262923
PRTN3	CD164	7.049236062247669
EMB	SRGN	7.047616825609089
RECQL4	FTL	7.045474272354663
AFF1	IGHM	7.043483669050258
AC245014.3	SDF2L1	7.039813779424733
TPRN	SDF2L1	7.024826818045334
CALR	SDF2L1	6.985145898179885
CD52	KIT	6.979307731490071
HAVCR2	SMC4	6.978094348476088
MTO1	ALAS1	6.961750325656652
PRG2	MAN1A1	6.9560174310471385
AZU1	SERPINB1	6.9334919029805375
SNHG29	EIF3E	6.902780263530708
MPO	SERPINB1	6.869323636645249
ABCC1	C1QTNF4	6.869284932561334
UGGT1	DNAJB9	6.839217186371349
NDUFA5	IMPAD1	6.834548007153714
MPO	LUC7L3	6.814846564558662
PTK2B	JUND	6.800035360572231
SRGN	FAM107B	6.779935777601013
YME1L1	RNASE2	6.753785684947226
HSH2D	MYC	6.7393030973444334
TPM3	LYZ	6.732300663493488
RNASE2	IL5RA	6.724819390405583
SKIV2L	JUND	6.697602484454398
TBC1D10C	HIST1H4C	6.686203520204897
PRTN3	APLP2	6.678273335154923
RARRES2	AZU1	6.674738013893298
RASGRP3	MYC	6.645622267202553
AZU1	TENT5A	6.6427162924994825
LHFPL2	ITM2A	6.63943233525604
LRRC45	SSR4	6.631426744355519
BST1	CD52	6.625770276117826
FP671120.5	CSF3R	6.613974423340138
JKAMP	ACSM3	6.600278024876175
SRP14	POLR2L	6.577831385104911
LSP1	KCNE5	6.573346128427818
ELOC	HMGB2	6.5655702180987126
IMPAD1	IL5RA	6.562458056564587
CTSG	SERPINB1	6.561429496684476
PTK2B	CD52	6.555016041008214
KCNAB2	GRN	6.550483528706469
ZFYVE26	FOSB	6.537624853105062
IGHM	TRBV12-3	6.52898218894313
ZNF512B	HGF	6.508195402463991
CDT1	CSF1R	6.488445330814764
ZNF574	IGFBP2	6.477918637071191
CST3	KIF17	6.420980626478539
OARD1	MS4A3	6.406959339672627
LYZ	TPM3	6.393261658633215
APLP2	VAT1	6.391542716018146
KCNAB2	PRAM1	6.383720954295683
CANX	FOSB	6.375552857461972
RPL3P4	POLR2L	6.374655194454651
HMGB2	SMC4	6.373017174978327
WDFY1	VAT1	6.3667501951266745
NCAPH	SMC4	6.356015482309468
GRN	RECQL4	6.3530842776244985
FAM107B	SERPINB10	6.3457725301614865
PRMT1	LSP1	6.344271028745919
CD52	CD164	6.3357664798037305
RECQL4	SDF2L1	6.333949052544368
DBNL	PRAM1	6.3271181261545655
PIWIL4	FAM107B	6.325028989873173
RPL3P4	RNVU1-15	6.317583712032032
RNASE2	PRTN3	6.299906102494406
PSMD8	PRG2	6.273302930301182
CALR	SNHG29	6.2688574684636595
MPP6	RNVU1-15	6.2565807203234565
LRRC45	JUND	6.252177766717832
ACSM3	FNDC3B	6.228947531635167
PRAM1	FP671120.5	6.220707773350139
KAT7	IL5RA	6.209444875725999
SRGN	CANX	6.2035915444716565
KIF17	CSF1R	6.189483744969146
EXOSC3	RHOBTB1	6.18851340452967
CHID1	PRTN3	6.168382244894334
STT3B	MS4A3	6.15042377293271
RAD51	SMC4	6.138423284941178
MPO	LSP1	6.13616507945727
CHID1	AZU1	6.107790132277473
FBN2	CD52	6.1073881230767455
ABCC1	KIT	6.082784766767718
RXFP2	IL5RA	6.0635014613615805
TBC1D10C	EMC3-AS1	6.055277112863085
CEP120	LHFPL2	6.054344350131783
HSPD1	HSP90B1	6.052257636822389
SERPINB10	LRRCC1	6.048010899879737
DNMT1	SDF2L1	6.031857680926362
ZSCAN31	CD52	6.031237837168075
MPO	SDF2L1	6.023042280678477
PRMT1	AKR1B1	6.01595747342749
OSBPL9	JKAMP	6.009700313876874
MPO	HSP90B1	6.008348136871126
ARF1	LSP1	6.003080774228435
AZU1	CHID1	5.989504365087278
FAM107B	MARC1	5.970628206966441
ZMYND19	LUC7L3	5.951987698740581
TFEC	FOSB	5.9496546084210316
APLP2	HGF	5.9450645492254335
ATL3	ALAS1	5.938210658946916
EPG5	HGF	5.932312143934454
TRIB3	CYP4V2	5.9256231613165165
FOSB	RNVU1-15	5.919810984932092
IMPAD1	MS4A3	5.918200195923397
RGCC	TSPOAP1	5.917873824640898
MAPKAPK3	FTL	5.91734443463251
PRAM1	C1QTNF4	5.916618641460693
RNVU1-15	SNHG29	5.916190744802793
ACY3	IGHM	5.915838954157603
COL8A2	FOSB	5.902961014626326
MYC	HSPA5	5.9021202411676725
FOSB	TSPOAP1	5.901641484335879
GNPDA2	SEC24A	5.899340168317301
CABIN1	MTO1	5.888036793300795
AL355922.1	CTSG	5.8873101607719125
MAPKAPK3	LAMC1	5.881980559022497
TRIOBP	FP671120.5	5.878489307767906
TOP1MT	CSF1R	5.859760845602889
DMXL2	FAM107B	5.853769820344472
HIVEP3	PKD1	5.849430703719956
NT5DC2	GRN	5.834106847895037
SYNGR1	AC109326.1	5.82628760968394
MED21	ITM2A	5.826133536848582
NCOA4	MYC	5.81398399732749
PRTN3	CTSG	5.799662973123889
SRGN	ALDH3A2	5.7967564323311525
TSPOAP1	CSF3R	5.773992253996028
GANC	NCAPH	5.764216318234684
NDUFA5	UBE2Q1	5.740613253659928
AL034397.3	SMC4	5.733298481492241
VAT1	APLP2	5.732761950829532
CRELD2	CALR	5.729065209656202
PAPOLA	DPP7	5.721534969737528
DPH2	RECQL4	5.7166429851513305
SYNGR3	SMC4	5.716350440390888
SRP14	GPI	5.7061395080295965
ARF1	ZDHHC8	5.693828670118545
SSR4	AC109326.1	5.679271965851887
SSH3	CFD	5.661446758345275
COX19	FTL	5.657747330766121
RASGRP3	TENT5A	5.648458154046008
IL5RA	CEBPE	5.644782939966202
SLC38A10	JUND	5.641006952902473
DUSP3	DPP7	5.638910146640161
SERPINB10	MPO	5.622967811182542
CAMK1D	RNVU1-15	5.606441116441118
TCF25	ALAS1	5.606056647779403
PRTN3	SSR4	5.594464275104686
ACY3	ZDHHC8	5.588597770927013
MAN2B2	RAB26	5.586609279565304
KBTBD11	GPI	5.5808973596868805
APLP2	MYC	5.571061541879788
PRTN3	MS4A3	5.570282204956322
TMX3	HMGB2	5.563485801610781
ACSM1	ACSM3	5.544493696817554
NUDT8	C1QTNF4	5.541888720435914
RAD51	SDF2L1	5.516444536566172
GPA33	ACSM3	5.515261246031416
LHFPL2	SLC26A2	5.494509176521215
RAD51	OSBPL9	5.4940360275257625
DMXL2	FP671120.5	5.474365517366405
TRGJP1	RASGRP2	5.4713661480264335
RCCD1	PTK2B	5.468355601429106
ERLIN1	VAT1	5.453355883274792
CALR	MS4A3	5.452311784465341
MROH8	CTSG	5.448693120775354
GRN	SYNGR1	5.4474402720914865
CYP4V2	SERPINB10	5.442961189136162
ATL3	ACSM3	5.4370711783224905
CEBPE	ACSM3	5.426056632869103
FOSB	AC245014.3	5.420645279891684
GRN	LYZ	5.404778874660886
EIF5B	SLC35C2	5.403852353391236
C1orf74	ALAS1	5.40286997581283
FP671120.5	EIF3E	5.397837081157498
EIF5B	FOSB	5.393270710553344
ALDH3A2	ALAS1	5.391623043620078
MS4A3	CALR	5.388959490647499
KAT6B	PLTP	5.383607935232461
TTC8	PRG2	5.38339912333262
BST1	ALAS1	5.383066551202114
OSBPL9	PRG2	5.370177396846943
EARS2	B3GALNT1	5.363904252175983
LZTFL1	IL5RA	5.363856308762453
ERLIN1	IL5RA	5.360382594053833
EPG5	NOTCH1	5.359032091954818
DUSP3	FTL	5.358223382931763
ACY3	LSP1	5.356335751846976
SLC35C2	ITM2A	5.327775033812843
KBTBD11	VAT1	5.313130568098705
RECQL4	RNVU1-15	5.311151601433347
SLC25A12	SLC26A2	5.305739089793642
MS4A3	CD52	5.2994953576510495
CDC23	DNAJB9	5.290441858594951
SRP14	CANX	5.289167034318127
MS4A3	MYC	5.2847823404391345
KATNB1	TBC1D10C	5.279063475753013
KBTBD6	ERAP1	5.2779675345270505
PCBP3	CSF3R	5.2778388216126055
MAN1A1	HGF	5.272240686104088
HGF	SERPINB1	5.271478895416985
ELANE	CSF3R	5.269366556209682
SERPINB10	AZU1	5.265252909105847
CALR	AZU1	5.260274484213883
KAT6B	HIST1H4C	5.254000767523541
HSP90B1	MYC	5.244016296203002
GATM	NXT2	5.2398690334405496
AZU1	SDF2L1	5.2324713187260565
RCCD1	HIST1H4C	5.2323521125102666
PRG2	ACSM3	5.232145437053747
COL8A2	ALAS1	5.229889728871921
CTSG	SSR4	5.223335086063755
PRTN3	CANX	5.219608758172369
SSR4	MPO	5.214296787891029
VPS13C	ELANE	5.213048773767429
APLP2	HSP90B1	5.208076888327568
EIF4A1	FOSB	5.2071336311587
TMEM214	PRTN3	5.195026983959728
MTO1	MYC	5.1850913137897665
TMEM19	IP6K2	5.170145624430547
CPVL	CALR	5.161808392024253
CTDP1	RNVU1-15	5.158047072956838
MFAP4	MS4A3	5.155263816583096
ARHGAP15	ITM2A	5.150702297698809
CALR	VAT1	5.144293368962849
YIPF1	KIF17	5.14378667596394
SLC19A1	C1QTNF4	5.1383889530118605
SNHG29	CALR	5.1376184620878105
WDFY1	ITM2A	5.137314553312893
MS4A3	SERPINB1	5.131984724073464
DPP7	IGFBP2	5.129472167438751
RHOBTB1	CD52	5.129108515221184
EMB	KIT	5.126651685381439
MED21	VAT1	5.113252154697059
CYP2S1	ZNF512B	5.111994841738878
MBLAC2	NCAPH	5.108802697036348
SERPINB10	HSP90B1	5.097845949209941
CPVL	MS4A3	5.092880191101446
BRAT1	MARC1	5.0864955351924435
SLC31A2	FOSB	5.085033284275165
CSF3R	CTSG	5.078724255250894
SMARCA4	CNPY3	5.070029101662972
GGPS1	CHID1	5.064995053059215
ELOC	HSPD1	5.05416036241953
AFF4	AC245014.3	5.049756127006617
ANKRD33B	CHID1	5.049203606430413
SSR4	CD164	5.046192382561731
PRG2	CANX	5.0313435079859685
CABIN1	ELANE	5.029228433427512
CLEC5A	ACSM3	5.013065719553105
SLC35C2	APEX2	5.011834422912296
GPT2	PRTN3	5.006550130438812
TRBV12-3	CD52	5.00518035430356
SNHG29	SERPINB1	4.9996179198586015
AL034397.3	VAT1	4.999544223069157
ZNF717	RNVU1-15	4.998588242735921
PLOD3	AC245014.3	4.9974842703282665
CMAHP	TRIM35	4.997353497410883
IFT22	CD52	4.9934382070295635
ARF1	NOTCH1	4.992329140455724
CLEC12A	CPVL	4.991868813001892
CFD	SDF2L1	4.991093135432178
C1QTNF4	IGHM	4.979529496348814
PIWIL4	DPP7	4.971842385343229
FGFR1OP	TENT5A	4.971537067977469
RNASE2	TENT5A	4.954494634670658
OSBP	SNHG29	4.9527848707273945
KCNE5	LYZ	4.951360024913871
TRIOBP	GRN	4.940885588148166
POLR2L	AC109326.1	4.938967699770812
MS4A3	CPVL	4.933579850914706
HSP90B1	APLP2	4.919030175292361
DUSP3	MARC1	4.904715643753773
SYNGR1	AZU1	4.902599567532471
C5orf15	FUT4	4.8954409782170805
CD52	ZSCAN31	4.8906583387839975
PUS3	NCAPH	4.889164704684999
GRN	KCNE5	4.880156142922531
MS4A3	LUC7L3	4.874045938808915
FNDC3B	MPO	4.873120575533939
SLC25A12	LHFPL2	4.869150654809809
RANBP17	CHID1	4.8677800317810505
NCOA4	EIF3E	4.8649743448003555
FAM107B	SRGN	4.861651524866324
APLP2	CSF3R	4.8587432819951815
GPI	ELANE	4.856840689111888
ERI1	NOTCH1	4.8481563324787444
FES	PRTN3	4.841179561702661
SLC22A16	MARC1	4.838618464549937
RAD51	CFD	4.835185218799501
TMED4	RNVU1-15	4.83452311953817
IGFBP2	KCNE5	4.833652744100981
MYC	MS4A3	4.824115805361797
DNMT1	FP671120.5	4.807959171931501
CXorf21	CD164	4.806876391551122
NOTCH1	EPG5	4.80407803998281
SESN3	LYZ	4.776885336024284
MPO	SERPINB10	4.775201058703376
KBTBD11	SRP14	4.757837212044742
GRN	CSF1R	4.739181469734072
FTL	CST3	4.736063462697516
DYNC2LI1	MYC	4.734001198227146
AZU1	TRBV12-3	4.730396462939939
SYNGR1	FOSB	4.722491175138918
SSR4	CRELD2	4.719929857718181
DPP7	GRN	4.714037895120954
SERPINB10	CALR	4.713620196599615
CCNYL1	VAT1	4.71293464255154
RCCD1	ALAS1	4.701870328400316
ARF1	IGHM	4.701413429250161
SRGN	ZSCAN31	4.699214877266036
HMGB2	MPO	4.693314260759731
SRGN	LSP1	4.688499087655168
YME1L1	SMC4	4.687558452420293
DYNC2LI1	BLZF1	4.6872917825568
GBF1	NEFH	4.681977206452318
MPO	CPVL	4.676922804026152
C3AR1	SERPINB10	4.676521774313763
JAM3	CFD	4.674803259721635
CD164	IL2RG	4.668999551716659
NFYB	CANX	4.65953256293245
CFD	MYC	4.65784517650515
AKR1B1	PRMT1	4.651567681420263
B4GAT1	CPVL	4.65018123771119
PRTN3	IGFBP2	4.645649484806198
CNPY3	RECQL4	4.6423386730428255
DPH2	FTL	4.641344894146826
NOTCH1	C1QTNF4	4.634857353296127
FGFR1OP	GGPS1	4.632427844948712
UGGT1	HSP90B1	4.625696482271162
EXOSC3	CD52	4.623579655361746
PSMD8	CEBPE	4.61848367447381
FBN2	CALR	4.610094971099622
RNASE2	SMC4	4.609722830840705
DPEP3	NTSR1	4.606231225962771
TMEM214	AZU1	4.605824765856911
GTPBP1	AC109326.1	4.599377262389692
IGHM	FP671120.5	4.595094937985134
CTSG	AC109326.1	4.589706359518188
MS4A3	HSPA5	4.5870755539628485
FAM122B	ACSM3	4.584209432370581
ATL3	SRGN	4.580256161534427
HYAL3	FOSB	4.579151626339925
WDR77	MAN2B2	4.578011760712768
RNASE2	LUC7L3	4.573235979753405
PIK3CB	CHID1	4.565602623867212
